src,label,path,y,group,split
/kaggle/input/datasets/researchersajid/mangoclassify-12-native-mango-dataset-from-bd/MangoClassify-12/Amrapali/IMG20250627175959.jpg,Amrapali,/kaggle/working/small/Amrapali/00000.jpg,0,29,train
/kaggle/input/datasets/researchersajid/mangoclassify-12-native-mango-dataset-from-bd/MangoClassify-12/Amrapali/IMG20250627180009.jpg,Amrapali,/kaggle/working/small/Amrapali/00001.jpg,0,163,train
/kaggle/input/datasets/researchersajid/mangoclassify-12-native-mango-dataset-from-bd/MangoClassify-12/Amrapali/IMG20250627180028.jpg,Amrapali,/kaggle/working/small/Amrapali/00002.jpg,0,163,train
/kaggle/input/datasets/researchersajid/mangoclassify-12-native-mango-dataset-from-bd/MangoClassify-12/Amrapali/IMG20250627180029.jpg,Amrapali,/kaggle/working/small/Amrapali/00003.jpg,0,163,train
/kaggle/input/datasets/researchersajid/mangoclassify-12-native-mango-dataset-from-bd/MangoClassify-12/Amrapali/IMG20250627180036.jpg,Amrapali,/kaggle/working/small/Amrapali/00004.jpg,0,0,train
/kaggle/input/datasets/researchersajid/mangoclassify-12-native-mango-dataset-from-bd/MangoClassify-12/Amrapali/IMG20250627180036_01.jpg,Amrapali,/kaggle/working/small/Amrapali/00005.jpg,0,0,train
/kaggle/input/datasets/researchersajid/mangoclassify-12-native-mango-dataset-from-bd/MangoClassify-12/Amrapali/IMG20250627180042.jpg,Amrapali,/kaggle/working/small/Amrapali/00006.jpg,0,0,train
/kaggle/input/datasets/researchersajid/mangoclassify-12-native-mango-dataset-from-bd/MangoClassify-12/Amrapali/IMG20250627180043.jpg,Amrapali,/kaggle/working/small/Amrapali/00007.jpg,0,0,train
/kaggle/input/datasets/researchersajid/mangoclassify-12-native-mango-dataset-from-bd/MangoClassify-12/Amrapali/IMG20250627180047.jpg,Amrapali,/kaggle/working/small/Amrapali/00008.jpg,0,0,train
/kaggle/input/datasets/researchersajid/mangoclassify-12-native-mango-dataset-from-bd/MangoClassify-12/Amrapali/IMG20250627180048.jpg,Amrapali,/kaggle/working/small/Amrapali/00009.jpg,0,0,train
/kaggle/input/datasets/researchersajid/mangoclassify-12-native-mango-dataset-from-bd/MangoClassify-12/Amrapali/IMG20250627180101.jpg,Amrapali,/kaggle/working/small/Amrapali/00010.jpg,0,28,train
/kaggle/input/datasets/researchersajid/mangoclassify-12-native-mango-dataset-from-bd/MangoClassify-12/Amrapali/IMG20250627180101_01.jpg,Amrapali,/kaggle/working/small/Amrapali/00011.jpg,0,28,train
